Tengo,Salario.mensual.BRUTO..en.tu.moneda.local.,X.Tenés.guardias._No,X.Tenés.guardias._Sí..activa,X.Tenés.guardias._Sí..pasiva,X.Programás.como.hobbie._No,X.Programás.como.hobbie._Sí,X.Tuviste.ajustes.por.inflación.en.2019._Dos,X.Tuviste.ajustes.por.inflación.en.2019._Más.de.tres,X.Tuviste.ajustes.por.inflación.en.2019._No,X.Tuviste.ajustes.por.inflación.en.2019._Tres,X.Tuviste.ajustes.por.inflación.en.2019._Uno
23,37942,1,0,0,0,1,1,0,0,0,0
37,137000,1,0,0,0,1,1,0,0,0,0
32,88000,1,0,0,0,1,1,0,0,0,0
42,119000,1,0,0,1,0,0,0,1,0,0
30,160000,1,0,0,1,0,0,1,0,0,0
30,74000,0,0,1,0,1,1,0,0,0,0
22,12500,1,0,0,0,1,0,0,1,0,0
23,62000,1,0,0,1,0,0,0,0,1,0
22,137250,0,1,0,0,1,0,1,0,0,0
22,45000,1,0,0,0,1,1,0,0,0,0
36,400000,0,0,1,1,0,1,0,0,0,0
27,82000,1,0,0,1,0,0,0,0,1,0
34,181000,1,0,0,0,1,0,0,0,1,0
46,50000,0,0,1,0,1,0,0,1,0,0
22,48192,1,0,0,0,1,0,0,0,0,1
33,110600,1,0,0,0,1,0,0,1,0,0
30,90000,0,1,0,0,1,0,1,0,0,0
30,44000,0,0,1,1,0,1,0,0,0,0
22,45000,0,0,1,0,1,0,0,1,0,0
40,450000,1,0,0,1,0,0,0,0,1,0
34,126000,1,0,0,0,1,0,1,0,0,0
46,58000,1,0,0,0,1,0,1,0,0,0
39,140000,0,0,1,0,1,1,0,0,0,0
34,125000,1,0,0,1,0,0,0,0,0,1
27,48000,0,1,0,1,0,0,0,0,1,0
32,78000,1,0,0,0,1,0,1,0,0,0
28,44000,1,0,0,1,0,0,0,0,0,1
40,100000,1,0,0,1,0,1,0,0,0,0
25,225000,0,0,1,0,1,0,0,0,1,0
31,130000,1,0,0,1,0,1,0,0,0,0
32,96300,1,0,0,1,0,0,0,0,1,0
26,62000,0,0,1,1,0,0,0,1,0,0
38,120000,0,0,1,0,1,0,0,0,1,0
31,82000,0,0,1,1,0,1,0,0,0,0
34,135000,0,0,1,0,1,0,0,0,0,1
31,31000,1,0,0,0,1,0,0,0,0,1
22,39600,1,0,0,0,1,1,0,0,0,0
30,290000,0,0,1,0,1,0,0,1,0,0
30,150000,0,1,0,0,1,0,0,0,1,0
30,50000,0,0,1,1,0,0,0,0,0,1
26,150000,0,0,1,1,0,0,1,0,0,0
25,53000,1,0,0,0,1,0,0,0,1,0
40,80000,1,0,0,0,1,0,0,0,0,1
33,66466,1,0,0,0,1,0,0,0,1,0
25,50000,1,0,0,0,1,1,0,0,0,0
25,160000,0,0,1,0,1,0,1,0,0,0
25,73000,1,0,0,1,0,0,0,0,1,0
22,42000,0,1,0,1,0,0,1,0,0,0
22,35600,1,0,0,1,0,0,0,1,0,0
28,57000,1,0,0,1,0,0,0,0,1,0
42,670000,0,0,1,1,0,0,1,0,0,0
28,140000,1,0,0,0,1,0,0,0,1,0
36,82000,1,0,0,0,1,0,0,0,0,1
35,90,1,0,0,0,1,0,0,0,0,1
34,91000,1,0,0,0,1,1,0,0,0,0
25,53000,0,0,1,0,1,0,0,0,0,1
36,150000,1,0,0,1,0,0,0,0,0,1
31,111120,1,0,0,1,0,0,0,0,1,0
33,76000,0,0,1,0,1,0,0,1,0,0
37,68000,1,0,0,0,1,0,0,0,1,0
28,39753,1,0,0,1,0,0,0,0,0,1
36,40000,1,0,0,1,0,0,0,0,0,1
24,97000,1,0,0,0,1,0,0,0,1,0
23,26800,1,0,0,0,1,0,0,0,1,0
30,107000,1,0,0,1,0,0,0,1,0,0
25,81562,1,0,0,0,1,1,0,0,0,0
26,70000,1,0,0,1,0,0,0,1,0,0
38,67000,1,0,0,1,0,1,0,0,0,0
46,105000,1,0,0,1,0,0,0,0,1,0
28,90000,1,0,0,0,1,1,0,0,0,0
25,90000,1,0,0,0,1,0,0,0,1,0
39,49000,1,0,0,1,0,0,0,0,0,1
41,166000,1,0,0,0,1,1,0,0,0,0
26,65000,1,0,0,0,1,1,0,0,0,0
46,60000,1,0,0,0,1,1,0,0,0,0
28,92000,1,0,0,0,1,0,1,0,0,0
29,130000,0,0,1,0,1,0,0,0,1,0
37,129000,1,0,0,1,0,1,0,0,0,0
38,120000,1,0,0,1,0,0,0,0,1,0
46,70000,1,0,0,0,1,0,0,1,0,0
37,56000,1,0,0,1,0,0,0,0,0,1
34,264000,0,0,1,0,1,0,0,1,0,0
28,66000,0,0,1,1,0,1,0,0,0,0
26,35000,1,0,0,0,1,0,0,1,0,0
26,90000,1,0,0,1,0,0,0,1,0,0
22,42000,1,0,0,1,0,1,0,0,0,0
29,37000,1,0,0,1,0,0,0,1,0,0
39,86000,0,1,0,1,0,0,0,0,0,1
42,95000,0,0,1,1,0,1,0,0,0,0
23,60000,1,0,0,0,1,0,0,0,1,0
34,160850,0,0,1,1,0,0,0,0,0,1
35,85000,1,0,0,1,0,0,0,0,0,1
35,62000,0,0,1,1,0,0,0,0,1,0
35,69000,1,0,0,1,0,1,0,0,0,0
34,4000,1,0,0,1,0,0,0,1,0,0
38,100000,1,0,0,0,1,0,0,1,0,0
37,150000,0,0,1,0,1,1,0,0,0,0
31,90000,1,0,0,0,1,0,0,0,0,1
30,85000,1,0,0,0,1,0,0,1,0,0
27,97000,0,0,1,1,0,0,0,0,0,1
33,72000,1,0,0,0,1,1,0,0,0,0
28,63000,0,1,0,0,1,1,0,0,0,0
37,93500,1,0,0,1,0,1,0,0,0,0
29,160000,1,0,0,0,1,1,0,0,0,0
22,34000,1,0,0,0,1,1,0,0,0,0
24,64000,0,0,1,1,0,1,0,0,0,0
28,89000,1,0,0,1,0,1,0,0,0,0
34,36000,1,0,0,0,1,0,0,1,0,0
33,120000,1,0,0,0,1,0,1,0,0,0
33,190000,1,0,0,0,1,1,0,0,0,0
34,42000,1,0,0,0,1,0,0,0,0,1
29,185000,0,0,1,1,0,1,0,0,0,0
23,71000,1,0,0,0,1,1,0,0,0,0
25,70000,1,0,0,0,1,0,0,1,0,0
37,132000,1,0,0,1,0,0,0,0,0,1
22,38500,0,1,0,1,0,0,0,0,0,1
24,98415,1,0,0,0,1,1,0,0,0,0
26,54700,1,0,0,1,0,0,0,0,1,0
27,66000,1,0,0,0,1,1,0,0,0,0
35,82000,1,0,0,0,1,1,0,0,0,0
46,100000,0,1,0,0,1,0,0,0,1,0
29,145000,1,0,0,1,0,1,0,0,0,0
27,75000,1,0,0,1,0,1,0,0,0,0
41,152859,1,0,0,0,1,1,0,0,0,0
22,35000,0,1,0,1,0,0,0,1,0,0
43,134000,1,0,0,1,0,0,0,0,1,0
29,80000,1,0,0,0,1,0,0,0,0,1
37,71500,0,0,1,1,0,1,0,0,0,0
32,150000,1,0,0,1,0,1,0,0,0,0
25,175000,1,0,0,0,1,1,0,0,0,0
29,72000,1,0,0,1,0,0,0,0,1,0
32,130000,1,0,0,1,0,0,0,0,0,1
40,67700,1,0,0,1,0,0,0,0,0,1
39,87000,1,0,0,1,0,1,0,0,0,0
44,80000,1,0,0,1,0,0,0,0,0,1
31,210000,1,0,0,0,1,1,0,0,0,0
25,82000,0,0,1,0,1,0,0,0,1,0
22,47000,1,0,0,1,0,1,0,0,0,0
31,59666,0,0,1,1,0,0,0,0,0,1
30,59000,0,0,1,0,1,0,1,0,0,0
27,77000,1,0,0,0,1,1,0,0,0,0
33,97000,1,0,0,0,1,1,0,0,0,0
24,50000,1,0,0,1,0,1,0,0,0,0
28,92000,1,0,0,0,1,1,0,0,0,0
23,90000,1,0,0,0,1,0,1,0,0,0
32,107000,0,0,1,1,0,0,0,0,0,1
31,155000,1,0,0,0,1,1,0,0,0,0
34,91000,1,0,0,0,1,1,0,0,0,0
27,80100,1,0,0,0,1,1,0,0,0,0
27,38200,1,0,0,0,1,1,0,0,0,0
25,60000,1,0,0,0,1,0,0,0,0,1
33,100000,1,0,0,0,1,0,0,0,1,0
28,60000,1,0,0,0,1,0,0,0,0,1
29,70000,0,1,0,0,1,0,0,0,0,1
39,150000,1,0,0,1,0,0,0,0,1,0
34,185000,1,0,0,0,1,1,0,0,0,0
30,117000,0,0,1,1,0,0,0,0,0,1
25,59000,1,0,0,0,1,0,0,1,0,0
32,70000,0,0,1,0,1,1,0,0,0,0
24,95000,1,0,0,0,1,0,0,0,0,1
28,135000,1,0,0,1,0,0,0,0,1,0
27,65405.09,1,0,0,1,0,0,1,0,0,0
22,30000,1,0,0,1,0,0,0,0,0,1
43,150000,0,0,1,1,0,1,0,0,0,0
35,200000,1,0,0,0,1,0,0,1,0,0
25,37000,1,0,0,0,1,1,0,0,0,0
41,75000,0,0,1,0,1,1,0,0,0,0
30,55000,1,0,0,0,1,1,0,0,0,0
28,120000,1,0,0,1,0,0,0,0,1,0
27,80000,1,0,0,0,1,1,0,0,0,0
33,71000,1,0,0,1,0,1,0,0,0,0
26,73000,1,0,0,1,0,1,0,0,0,0
46,125000,1,0,0,1,0,0,1,0,0,0
35,150000,1,0,0,0,1,0,1,0,0,0
25,42000,1,0,0,0,1,0,0,1,0,0
28,56000,1,0,0,0,1,0,0,0,1,0
34,120000,1,0,0,0,1,1,0,0,0,0
25,100000,1,0,0,1,0,1,0,0,0,0
27,65000,1,0,0,1,0,1,0,0,0,0
30,56850,1,0,0,1,0,0,0,0,0,1
26,60000,1,0,0,1,0,0,0,1,0,0
28,140000,0,0,1,0,1,0,0,0,0,1
26,120000,1,0,0,0,1,1,0,0,0,0
46,85500,1,0,0,0,1,1,0,0,0,0
34,106000,1,0,0,1,0,1,0,0,0,0
36,133000,1,0,0,0,1,1,0,0,0,0
46,110000,0,0,1,0,1,1,0,0,0,0
43,92000,1,0,0,1,0,0,0,0,0,1
39,165000,1,0,0,1,0,0,1,0,0,0
31,59666,0,0,1,1,0,0,0,0,0,1
31,250000,0,0,1,1,0,0,0,1,0,0
30,90000,1,0,0,0,1,0,0,1,0,0
32,131500,0,0,1,0,1,0,0,0,1,0
27,96000,1,0,0,0,1,1,0,0,0,0
22,34000,1,0,0,0,1,0,0,1,0,0
35,84000,1,0,0,1,0,1,0,0,0,0
46,63000,1,0,0,0,1,0,0,0,1,0
33,100000,0,0,1,0,1,1,0,0,0,0
26,60000,1,0,0,0,1,0,0,0,1,0
22,66132,1,0,0,0,1,1,0,0,0,0
46,160000,1,0,0,0,1,0,0,0,1,0
23,56700,1,0,0,1,0,1,0,0,0,0
40,90000,0,0,1,0,1,0,0,0,0,1
39,280000,1,0,0,1,0,0,1,0,0,0
22,73000,1,0,0,0,1,1,0,0,0,0
31,120,1,0,0,1,0,1,0,0,0,0
30,90000,0,0,1,0,1,0,1,0,0,0
31,185000,1,0,0,1,0,0,1,0,0,0
32,100000,1,0,0,1,0,1,0,0,0,0
29,130000,1,0,0,1,0,1,0,0,0,0
28,1,1,0,0,1,0,0,0,1,0,0
28,95000,1,0,0,0,1,1,0,0,0,0
34,92000,1,0,0,0,1,0,0,0,0,1
40,250000,1,0,0,0,1,0,1,0,0,0
30,43000,1,0,0,0,1,1,0,0,0,0
24,28000,1,0,0,0,1,0,0,0,0,1
34,98000,0,0,1,0,1,0,0,0,1,0
39,70000,1,0,0,0,1,0,0,0,1,0
23,33000,1,0,0,0,1,1,0,0,0,0
23,71500,1,0,0,1,0,0,0,0,1,0
26,65000,0,0,1,0,1,0,1,0,0,0
22,13000,1,0,0,0,1,0,0,0,1,0
33,110000,1,0,0,0,1,1,0,0,0,0
24,116000,1,0,0,1,0,1,0,0,0,0
26,77836,1,0,0,0,1,0,0,0,1,0
39,115000,1,0,0,1,0,0,0,1,0,0
42,74000,1,0,0,0,1,0,0,0,1,0
23,100,1,0,0,0,1,0,0,1,0,0
32,71800,0,0,1,0,1,1,0,0,0,0
27,1,1,0,0,0,1,0,0,0,0,1
22,54000,1,0,0,0,1,1,0,0,0,0
22,73000,1,0,0,0,1,1,0,0,0,0
22,80000,0,1,0,0,1,0,0,0,1,0
32,175000,0,0,1,0,1,1,0,0,0,0
32,170000,0,0,1,0,1,0,0,0,1,0
25,26500,1,0,0,0,1,0,0,1,0,0
34,98000,0,0,1,0,1,0,0,0,1,0
39,60000,1,0,0,1,0,0,0,0,1,0
24,96000,1,0,0,0,1,0,0,0,1,0
46,174626.83,1,0,0,0,1,0,1,0,0,0
30,250000,0,0,1,0,1,0,1,0,0,0
27,35000,1,0,0,0,1,0,0,0,0,1
45,125000,1,0,0,0,1,0,0,0,0,1
44,115000,1,0,0,0,1,1,0,0,0,0
29,89250,1,0,0,0,1,0,0,0,0,1
29,120000,1,0,0,1,0,0,0,1,0,0
27,98000,1,0,0,0,1,0,0,0,0,1
46,310000,0,0,1,1,0,0,0,0,1,0
29,270000,1,0,0,0,1,0,0,1,0,0
33,207000,1,0,0,1,0,1,0,0,0,0
22,75000,1,0,0,0,1,1,0,0,0,0
22,25000,1,0,0,1,0,0,0,1,0,0
35,235000,1,0,0,0,1,0,0,0,0,1
38,130000,1,0,0,1,0,1,0,0,0,0
32,185000,1,0,0,0,1,0,0,0,1,0
26,82000,1,0,0,0,1,1,0,0,0,0
24,100000,1,0,0,0,1,0,1,0,0,0
36,150000,0,1,0,0,1,1,0,0,0,0
41,310,0,0,1,1,0,0,1,0,0,0
35,242000,1,0,0,0,1,0,0,1,0,0
30,65000,1,0,0,1,0,0,0,1,0,0
34,115000,1,0,0,0,1,0,0,1,0,0
33,150000,1,0,0,0,1,1,0,0,0,0
26,63000,0,1,0,0,1,0,0,0,1,0
25,42000,1,0,0,1,0,1,0,0,0,0
25,136000,1,0,0,1,0,1,0,0,0,0
23,77200,1,0,0,1,0,0,0,1,0,0
35,140000,1,0,0,1,0,0,1,0,0,0
42,82000,1,0,0,1,0,0,0,1,0,0
38,100000,0,0,1,1,0,0,0,0,1,0
41,220000,1,0,0,0,1,1,0,0,0,0
22,30000,1,0,0,0,1,0,0,0,1,0
25,79000,1,0,0,0,1,0,1,0,0,0
41,82550,1,0,0,1,0,0,0,0,1,0
27,75000,0,0,1,1,0,0,0,0,0,1
34,130000,0,0,1,1,0,1,0,0,0,0
38,160000,1,0,0,1,0,0,0,1,0,0
39,75600,1,0,0,1,0,1,0,0,0,0
31,70800,1,0,0,1,0,1,0,0,0,0
30,61000,1,0,0,1,0,0,0,0,0,1
38,75000,1,0,0,1,0,0,0,0,0,1
36,1,1,0,0,1,0,0,0,0,1,0
22,27500,1,0,0,0,1,0,0,0,1,0
22,50000,1,0,0,0,1,1,0,0,0,0
37,75000,1,0,0,0,1,1,0,0,0,0
26,95000,1,0,0,0,1,0,0,0,1,0
25,40000,1,0,0,0,1,0,0,1,0,0
26,119422,1,0,0,1,0,0,1,0,0,0
22,70000,1,0,0,0,1,0,0,0,1,0
28,52000,1,0,0,0,1,0,0,0,0,1
28,310000,0,0,1,1,0,0,1,0,0,0
40,103000,1,0,0,0,1,0,0,0,1,0
22,25000,1,0,0,1,0,0,0,0,0,1
30,80000,0,1,0,0,1,0,0,1,0,0
37,78000,1,0,0,1,0,1,0,0,0,0
35,69000,0,0,1,0,1,1,0,0,0,0
22,35000,1,0,0,0,1,0,0,1,0,0
24,48200,1,0,0,0,1,1,0,0,0,0
45,95000,1,0,0,1,0,0,0,1,0,0
42,65000,1,0,0,0,1,0,0,0,0,1
43,46439.47,0,0,1,1,0,0,0,0,1,0
46,170217,1,0,0,0,1,0,0,1,0,0
25,50500,1,0,0,0,1,0,0,0,0,1
26,30000,1,0,0,0,1,0,0,1,0,0
22,45000,1,0,0,1,0,1,0,0,0,0
46,123900,0,0,1,0,1,0,1,0,0,0
27,100000,1,0,0,1,0,0,0,1,0,0
30,40000,1,0,0,0,1,0,0,1,0,0
34,310000,1,0,0,0,1,1,0,0,0,0
39,98917,1,0,0,1,0,0,1,0,0,0
40,84000,1,0,0,1,0,1,0,0,0,0
22,35000,1,0,0,0,1,0,0,1,0,0
33,70800,1,0,0,0,1,0,0,0,0,1
29,73900,1,0,0,0,1,0,0,0,1,0
36,100000,1,0,0,0,1,0,0,1,0,0
39,95000,1,0,0,0,1,1,0,0,0,0
36,114000,1,0,0,0,1,0,1,0,0,0
35,160000,1,0,0,1,0,0,0,0,1,0
37,145000,1,0,0,1,0,0,0,0,1,0
28,300000,0,0,1,0,1,1,0,0,0,0
39,160,1,0,0,1,0,1,0,0,0,0
25,55000,1,0,0,1,0,0,0,0,0,1
32,104000,1,0,0,1,0,1,0,0,0,0
29,170,1,0,0,0,1,0,0,0,1,0
31,35000,1,0,0,0,1,0,0,1,0,0
44,180000,0,0,1,0,1,0,1,0,0,0
22,54000,1,0,0,1,0,0,0,0,1,0
29,61380,1,0,0,1,0,0,0,0,1,0
30,58,0,0,1,0,1,0,0,0,0,1
25,90000,0,0,1,1,0,1,0,0,0,0
34,99000,1,0,0,1,0,0,0,0,0,1
36,90000,0,0,1,0,1,1,0,0,0,0
32,100000,0,0,1,1,0,0,0,1,0,0
44,92000,0,0,1,0,1,1,0,0,0,0
22,60000,1,0,0,0,1,0,0,0,1,0
23,16500,1,0,0,1,0,1,0,0,0,0
30,150000,1,0,0,0,1,0,1,0,0,0
38,250000,0,0,1,0,1,1,0,0,0,0
24,67100,1,0,0,1,0,0,0,0,1,0
28,92300,1,0,0,0,1,0,0,0,1,0
32,120000,1,0,0,1,0,0,0,0,1,0
32,132000,1,0,0,0,1,0,1,0,0,0
41,60000,1,0,0,1,0,0,0,1,0,0
22,32750,1,0,0,0,1,0,0,1,0,0
38,112000,1,0,0,1,0,1,0,0,0,0
45,110000,1,0,0,1,0,0,0,0,0,1
35,100000,1,0,0,1,0,0,0,0,1,0
46,150000,1,0,0,0,1,1,0,0,0,0
28,140000,1,0,0,0,1,1,0,0,0,0
28,150,1,0,0,0,1,0,1,0,0,0
31,95000,0,1,0,0,1,0,0,0,0,1
41,350000,1,0,0,0,1,1,0,0,0,0
33,240000,0,0,1,0,1,1,0,0,0,0
24,64000,1,0,0,0,1,0,0,0,1,0
25,50000,1,0,0,1,0,1,0,0,0,0
39,140000,1,0,0,1,0,0,0,0,1,0
31,41000,0,0,1,1,0,0,0,0,0,1
33,100000,0,1,0,1,0,0,0,0,1,0
28,320000,1,0,0,0,1,1,0,0,0,0
40,123000,0,0,1,0,1,1,0,0,0,0
27,46000,1,0,0,0,1,0,0,1,0,0
37,86792,0,0,1,0,1,0,0,0,1,0
26,110000,1,0,0,1,0,0,0,1,0,0
31,150000,0,1,0,0,1,1,0,0,0,0
24,124000,0,0,1,0,1,0,0,0,1,0
41,35000,0,0,1,0,1,1,0,0,0,0
41,250000,0,1,0,0,1,0,0,0,0,1
35,110000,1,0,0,1,0,1,0,0,0,0
24,26000,1,0,0,0,1,0,1,0,0,0
46,63000,1,0,0,1,0,0,0,0,0,1
30,50000,1,0,0,0,1,1,0,0,0,0
34,197000,1,0,0,0,1,0,1,0,0,0
45,80000,1,0,0,1,0,0,0,0,0,1
26,43000,1,0,0,0,1,0,0,1,0,0
29,71000,1,0,0,1,0,0,0,1,0,0
29,100000,1,0,0,0,1,1,0,0,0,0
29,33000,1,0,0,0,1,0,0,1,0,0
43,150000,1,0,0,0,1,0,0,0,1,0
44,91000,1,0,0,0,1,0,0,0,0,1
31,140000,1,0,0,1,0,1,0,0,0,0
33,51000,0,0,1,0,1,0,1,0,0,0
43,170000,1,0,0,1,0,1,0,0,0,0
24,90000,1,0,0,0,1,1,0,0,0,0
26,80000,1,0,0,0,1,1,0,0,0,0
34,80000,1,0,0,0,1,1,0,0,0,0
25,37000,0,1,0,0,1,0,0,0,0,1
24,76000,1,0,0,0,1,0,1,0,0,0
26,92230,0,1,0,0,1,0,0,0,1,0
39,100000,0,0,1,0,1,0,0,0,1,0
30,60000,0,0,1,0,1,0,0,1,0,0
23,29000,1,0,0,1,0,0,1,0,0,0
38,90000,1,0,0,0,1,1,0,0,0,0
24,63000,1,0,0,0,1,0,0,1,0,0
31,130000,1,0,0,0,1,1,0,0,0,0
27,50000,1,0,0,1,0,0,0,1,0,0
37,90000,1,0,0,0,1,1,0,0,0,0
